time,chasis.delta,chasis.x,chasis.y,chasis.theta_out
0,0,0,0,0
0.0998695,0,0.199738903,0,0
0.199739,0,0.399477807,0,0
0.299608,0,0.59921671,0,0
0.399478,0,0.798955614,0,0
0.499347,0,0.998694517,0,0
0.599217,0,1.19843342,0,0
0.699086,0,1.398172324,0,0
0.798956,0,1.597911227,0,0
0.898825,0,1.797650131,0,0
0.998695,0,1.997389034,0,0
1.09856,0,2.197127937,0,0
1.19843,0,2.396866841,0,0
1.2983,0,2.596605744,0,0
1.39817,0,2.796344648,0,0
1.49804,0,2.996083551,0,0
1.59791,0,3.195822454,0,0
1.69778,0,3.395561358,0,0
1.79765,0,3.595300261,0,0
1.89752,0,3.795039164,0,0
1.99739,0,3.994778068,0,0
2,0,4.000000001,0,0
2.09726,0.097258486,4.194516901,0.000134435,0.033782913
2.19713,0.197127937,4.394254914,0.000707568,0.138783797
2.297,0.296997389,4.593989627,0.001969639,0.315027329
2.39687,0.396866841,4.793715939,0.004169389,0.562514064
2.49674,0.496736292,4.993425419,0.007555103,0.88124476
2.59661,0.596605744,5.193104206,0.01237479,1.271220447
2.69648,0.696475196,5.392733917,0.018876368,1.73244233
2.79634,0.796344648,5.59229082,0.027307521,2.264911798
2.89621,0.896214099,5.791743411,0.037915502,2.868630497
2.99608,0.996083551,5.991051794,0.050946903,3.543600301
3.09595,1.095953003,6.190166504,0.066647349,4.289823318
3.19582,1.195822454,6.389031231,0.085261576,5.1073018
3.29569,1.295691906,6.587576539,0.107032578,5.996038286
3.39556,1.395561358,6.785719836,0.132201159,6.956035562
3.49543,1.495430809,6.983367413,0.161005821,7.987296604
3.5953,1.595300261,7.180411463,0.193681861,9.089824625
3.69517,1.695169713,7.37673042,0.23046089,10.26362304
3.79504,1.795039164,7.572187978,0.271570135,11.5086955
3.89491,1.894908616,7.76663208,0.317231523,12.82504585
3.99478,1.994778068,7.95989432,0.367660792,14.21267818
4,2.000000001,7.969963606,0.370432739,14.28719522
4.09465,2,8.151822119,0.422946052,15.63958285
4.19452,2,8.342312963,0.482993885,17.06658497
4.29439,2,8.53125251,0.547767973,18.49358709
4.39426,2,8.718520292,0.617227353,19.92058921
4.49413,2,8.904000478,0.691328083,21.34759133
4.59399,2,9.087577678,0.770024264,22.77459345
4.69386,2,9.269137942,0.853267486,24.20159557
4.79373,2,9.448568813,0.941006352,25.62859769
4.8936,2,9.625759019,1.033186469,27.05559981
4.99347,2,9.800598607,1.129750814,28.48260193
5.09334,2,9.972979254,1.230639479,29.90960405
5.19321,2,10.14279378,1.335790397,31.33660617
5.29308,2,10.30993707,1.445137874,32.76360829
5.39295,2,10.47430529,1.558613801,34.19061041
5.49282,2,10.63579665,1.67614804,35.61761253
5.59269,2,10.79431092,1.797667529,37.04461465
5.69256,2,10.94974985,1.923096863,38.47161677
5.79243,2,11.10201698,2.052358162,39.89861889
5.8923,2,11.25101786,2.185371252,41.32562101
5.99217,2,11.39666012,2.322053702,42.75262313
6,1.999999999,11.40793833,2.332926603,42.86454487
6.09204,1.907963446,11.53893699,2.462233912,44.14935448
6.19191,1.808093995,11.6779879,2.605613413,45.47502261
6.29178,1.708224543,11.81391968,2.751957505,46.72941224
6.39164,1.608355091,11.94685493,2.901030667,47.91252729
6.49151,1.50848564,12.07693017,3.052604329,49.02437153
6.59138,1.408616188,12.20428987,3.206466341,50.06494838
6.69125,1.308746736,12.32908695,3.36241531,51.03426103
6.79112,1.208877285,12.45148348,3.520256382,51.93231248
6.89099,1.109007833,12.57164932,3.679803061,52.75910552
6.99086,1.009138381,12.68976128,3.840876419,53.51464274
7.09073,0.90926893,12.80600157,4.003305203,54.19892646
7.1906,0.809399478,12.92055803,4.166925463,54.81195881
7.29047,0.709530026,13.03362358,4.33157859,55.35374169
7.39034,0.609660574,13.14539574,4.497112874,55.8242768
7.49021,0.509791123,13.25607324,4.663379995,56.22356557
7.59008,0.409921671,13.36586006,4.830237575,56.55160925
7.68995,0.310052219,13.47496019,4.997544086,56.80840886
7.78982,0.210182768,13.58358132,5.165163132,56.99396519
7.88969,0.110313316,13.69193029,5.332957461,57.10827881
7.98956,0.010443864,13.80021636,5.500793217,57.15135009
8,0,13.81154513,5.518341484,57.15173964
8.08943,0,13.90855688,5.668596147,57.15173964
8.1893,0,14.01689846,5.836398802,57.15173964
8.28916,0,14.12524004,6.004201457,57.15173964
8.38903,0,14.23358163,6.172004112,57.15173964
8.4889,0,14.34192321,6.339806767,57.15173964
8.58877,0,14.45026479,6.507609421,57.15173964
8.68864,0,14.55860637,6.675412076,57.15173964
8.78851,0,14.66694796,6.843214731,57.15173964
8.88838,0,14.77528954,7.011017386,57.15173964
8.98825,0,14.88363112,7.178820041,57.15173964
9.08812,0,14.99197271,7.346622695,57.15173964
9.18799,0,15.10031429,7.51442535,57.15173964
9.28786,0,15.20865587,7.682228005,57.15173964
9.38773,0,15.31699745,7.85003066,57.15173964
9.4876,0,15.42533904,8.017833315,57.15173964
9.58747,0,15.53368062,8.185635969,57.15173964
9.68734,0,15.6420222,8.353438624,57.15173964
9.78721,0,15.75036379,8.521241279,57.15173964
9.88708,0,15.85870537,8.689043934,57.15173964
9.98695,0,15.96704695,8.856846589,57.15173964
10,0,15.98120925,8.878781578,57.15173964
10.0868,-0.217036554,16.07561155,9.02450484,57.08444686
10.1867,-0.466710183,16.18505705,9.191588734,56.84056852
10.2866,-0.716383812,16.29588179,9.357759951,56.41857826
10.3864,-0.966057441,16.408573,9.522670317,55.8184682
10.4863,-1.21573107,16.52364329,9.685929734,55.04022679
10.5862,-1.4654047,16.64158002,9.847131743,54.08383883
10.686,-1.715078329,16.76283354,10.00585139,52.94928549
10.7859,-1.964751958,16.8878336,10.16163417,51.63654478
10.8858,-2.214425587,17.01698472,10.31398986,50.14559141
10.9856,-2.464099217,17.15065299,10.46239163,48.47639642
11.0855,-2.713772846,17.28917231,10.60627538,46.62892766
11.1854,-2.963446475,17.43281925,10.74503612,44.60314923
11.2852,-3.213120104,17.58181956,10.87802844,42.39902191
11.3851,-3.462793734,17.73633725,11.00456587,40.01650295
11.485,-3.712467363,17.89646447,11.12392151,37.45554617
11.5849,-3.962140992,18.06221554,11.23533113,34.71610195
11.6847,-4.211814621,18.2335164,11.33799709,31.7981172
11.7846,-4.461488251,18.41020025,11.43109169,28.70153537
11.8845,-4.71116188,18.5919926,11.51376633,25.42629646
11.9843,-4.960835509,18.77850059,11.58516216,21.972337
12,-5,18.80815303,11.59528177,21.41431898
12.0842,-5,18.96913191,11.6446415,18.40314903
12.1841,-5,19.16309105,11.69212241,14.83176137
12.2839,-5,19.35965234,11.72743397,11.2603737
12.3838,-5,19.55803672,11.75043076,7.688986039
12.4837,-5,19.75746094,11.7610214,4.117598374
12.5836,-5,19.95715693,11.75917199,0.54621071
12.5988,-5,19.98767322,11.75779171,360
12.6834,-5,20.15634391,11.74488837,356.974823
12.7833,-5,20.35425649,11.71822506,353.4034354
12.8832,-5,20.55013311,11.6792827,349.8320477
12.983,-5,20.74320298,11.62821861,346.2606601
13.0829,-5,20.93271678,11.56523086,342.6892724
13.1828,-5,21.11793865,11.49056213,339.1178847
13.2826,-5,21.29814928,11.40450068,335.5464971
13.3825,-5,21.47264868,11.30738006,331.9751094
13.4824,-5,21.64075929,11.19957633,328.4037217
13.5822,-5,21.80182658,11.08150477,324.8323341
13.6821,-5,21.95522561,10.95362782,321.2609464
13.782,-5,22.10036013,10.8164437,317.6895587
13.8819,-5,22.23666523,10.67048862,314.1181711
13.9817,-5,22.36361223,10.51632856,310.5467834
14.0816,-5,22.48070926,10.35456041,306.9753957
14.1815,-5,22.58750124,10.18581169,303.4040081
14.2813,-5,22.68357439,10.01073658,299.8326204
14.3812,-5,22.76855606,9.830014845,296.2612328
14.4811,-5,22.84211511,9.644350686,292.6898451
14.5809,-5,22.90396691,9.454464091,289.1184574
14.6808,-5,22.95387064,9.261093357,285.5470698
14.7807,-5,22.99163237,9.064989482,281.9756821
14.8805,-5,23.01710504,8.866913983,278.4042944
14.9804,-5,23.03018951,8.667636249,274.8329068
15,-4.999999996,23.03129725,8.628487613,274.1326346
15.0803,-4.799281984,23.03105589,8.467934131,271.3192903
15.1802,-4.549608355,23.02046982,8.26850596,267.9809805
15.28,-4.299934726,22.9990862,8.069936705,264.8213505
15.3799,-4.050261097,22.96759399,7.872722105,261.8403378
15.4798,-3.800587467,22.92668113,7.677241646,259.0378852
15.5796,-3.550913838,22.87704122,7.483786639,256.4139386
15.6795,-3.301240209,22.81936996,7.292568588,253.9684471
15.7794,-3.05156658,22.75435642,7.103718852,251.7013631
15.8792,-2.80189295,22.68267768,6.917295364,249.6126427
15.9791,-2.552219321,22.60499626,6.733290154,247.7022454
16.079,-2.302545692,22.52195847,6.551637104,245.9701342
16.1789,-2.052872063,22.43419303,6.372219608,244.4162756
16.2787,-1.803198433,22.34231075,6.194875058,243.0406395
16.3786,-1.553524804,22.2469057,6.019400319,241.8431991
16.4785,-1.303851175,22.14855514,5.84555756,240.8239312
16.5783,-1.054177546,22.04782341,5.673080351,239.9828162
16.6782,-0.804503916,21.94526238,5.501680647,239.3198378
16.7781,-0.554830287,21.84141444,5.331055259,238.8349831
16.8779,-0.305156658,21.73681472,5.160890538,238.5282429
16.9778,-0.055483029,21.63199342,4.990865748,238.3996109
17,0,21.60872288,4.953068545,238.3952133
17.0777,0,21.52730932,4.820757457,238.3952133
17.1775,0,21.42263474,4.650643198,238.3952133
17.2774,0,21.31796015,4.480528938,238.3952133
17.3773,0,21.21328557,4.310414679,238.3952133
17.4772,0,21.10861099,4.140300419,238.3952133
17.577,0,21.00393641,3.97018616,238.3952133
17.6769,0,20.89926182,3.8000719,238.3952133
17.7768,0,20.79458724,3.629957641,238.3952133
17.8766,0,20.68991266,3.459843382,238.3952133
17.9765,0,20.58523808,3.289729122,238.3952133
18.0764,0,20.48056349,3.119614863,238.3952133
18.1762,0,20.37588891,2.949500603,238.3952133
18.2761,0,20.27121433,2.779386344,238.3952133
18.376,0,20.16653974,2.609272084,238.3952133
18.4758,0,20.06186516,2.439157825,238.3952133
18.5757,0,19.95719058,2.269043565,238.3952133
18.6756,0,19.852516,2.098929306,238.3952133
18.7755,0,19.74784141,1.928815047,238.3952133
18.8753,0,19.64316683,1.758700787,238.3952133
18.9752,0,19.53849225,1.588586528,238.3952133
19.0751,0,19.43381767,1.418472268,238.3952133
19.1749,0,19.32914308,1.248358009,238.3952133
19.2748,0,19.2244685,1.078243749,238.3952133
19.3747,0,19.11979392,0.90812949,238.3952133
19.4745,0,19.01511933,0.73801523,238.3952133
19.5744,0,18.91044475,0.567900971,238.3952133
19.6743,0,18.80577017,0.397786712,238.3952133
19.7742,0,18.70109559,0.227672452,238.3952133
19.874,0,18.596421,0.057558193,238.3952133
19.9739,0,18.49174642,-0.112556067,238.3952133
20,-1.27E-09,18.46438051,-0.157030386,238.3952133
20.0738,-0.044747607,18.3870344,-0.282647277,238.3834255
20.1736,-0.105335074,18.28212831,-0.45261884,238.3298945
20.2735,-0.165922541,18.1768979,-0.622389746,238.2331431
20.3734,-0.226510009,18.07121437,-0.791878806,238.0931713
20.4732,-0.287097476,17.9649513,-0.961004384,237.9099789
20.5731,-0.347684943,17.85798277,-1.129683919,237.6835656
20.673,-0.408272411,17.7501833,-1.297833545,237.4139313
20.7728,-0.468859878,17.64142989,-1.465366288,237.1010755
20.8727,-0.529447346,17.53159927,-1.632195368,236.744998
20.9726,-0.590034813,17.42057087,-1.798229907,236.3456984
21.0725,-0.65062228,17.30822676,-1.963375287,235.9031761
21.1723,-0.711209748,17.19444917,-2.127536713,235.4174308
21.2722,-0.771797215,17.07912364,-2.290614853,234.8884617
21.3721,-0.832384682,16.96213922,-2.452505641,234.3162684
21.4719,-0.89297215,16.84338656,-2.613103185,233.7008502
21.5718,-0.953559617,16.72276002,-2.77229701,233.0422064
21.6717,-1.014147084,16.60015682,-2.929973222,232.3403361
21.7715,-1.074734552,16.47547796,-3.08601368,231.5952387
21.8714,-1.135322019,16.34862938,-3.240295006,230.8069133
21.9713,-1.195909487,16.21951963,-3.392690955,229.975359
22.0711,-1.256496954,16.0880641,-3.54306845,229.1005748
22.171,-1.317084421,15.95418155,-3.691290673,228.1825597
22.2709,-1.377671889,15.81779838,-3.837215133,227.2213127
22.3708,-1.438259356,15.67884472,-3.980694757,226.2168327
22.4706,-1.498846823,15.53725939,-4.121577282,225.1691185
22.5705,-1.559434291,15.39298566,-4.259705523,224.0781689
22.6704,-1.620021758,15.2459762,-4.394917316,222.9439828
22.7702,-1.680609225,15.09618908,-4.527045503,221.7665587
22.8701,-1.741196693,14.9435928,-4.655917985,220.5458955
22.97,-1.80178416,14.78816218,-4.781357738,219.2819915
23,-1.82,14.74087509,-4.81837339,218.8935395
23.0698,-1.82,14.62990685,-4.903212698,217.9854202
23.1697,-1.82,14.46893346,-5.021441751,216.6868946
23.2696,-1.82,14.30532361,-5.135991438,215.3883689
23.3695,-1.82,14.13916011,-5.246803877,214.0898432
23.4693,-1.82,13.97052331,-5.353825719,212.7913175
23.5692,-1.82,13.79949931,-5.457001852,211.4927919
23.6691,-1.82,13.62617987,-5.556276262,210.1942662
23.7689,-1.82,13.45065636,-5.651596329,208.8957405
23.8688,-1.82,13.27301919,-5.742913161,207.5972148
23.9687,-1.82,13.09335929,-5.830180165,206.2986892
24.0685,-1.82,12.91176893,-5.913352843,205.0001635
24.1684,-1.82,12.72834046,-5.992389088,203.7016378
24.2683,-1.82,12.54316674,-6.067249299,202.4031121
24.3681,-1.82,12.35634367,-6.137894356,201.1045865
24.468,-1.82,12.16796739,-6.204287723,199.8060608
24.5679,-1.82,11.97813429,-6.266395581,198.5075351
24.6678,-1.82,11.78694226,-6.324185713,197.2090094
24.7676,-1.82,11.59448961,-6.377628318,195.9104838
24.8675,-1.82,11.40087531,-6.426695848,194.6119581
24.9674,-1.82,11.20619838,-6.471363312,193.3134324
25,-1.819999998,11.14236488,-6.485002684,192.8890776
25.0672,-1.758818538,11.01057168,-6.511661577,192.0296047
25.1671,-1.667937337,10.81414488,-6.547843173,190.8071749
25.267,-1.577056136,10.61703553,-6.580113528,189.6496035
25.3668,-1.486174935,10.41935114,-6.608677762,188.5568877
25.4667,-1.395293734,10.22119497,-6.633756814,187.5290247
25.5666,-1.304412533,10.02265541,-6.655572375,186.5660115
25.6664,-1.213531332,9.823804664,-6.674342456,185.667846
25.7663,-1.122650131,9.624705364,-6.690286185,184.8345257
25.8662,-1.03176893,9.425413455,-6.703625491,184.0660485
25.9661,-0.940887728,9.225975588,-6.714583717,183.3624125
26.0659,-0.850006527,9.026431947,-6.723386041,182.7236158
26.1658,-0.759125326,8.826811787,-6.730256737,182.1496568
26.2657,-0.668244125,8.627141268,-6.735421988,181.640534
26.3655,-0.577362924,8.427437096,-6.739106605,181.1962461
26.4654,-0.486481723,8.227714272,-6.741536979,180.816792
26.5653,-0.395600522,8.027980878,-6.742938431,180.5021707
26.6651,-0.304719321,7.828243686,-6.743537285,180.2523814
26.765,-0.21383812,7.628505031,-6.743559477,180.0674234
26.8649,-0.122956919,7.428766036,-6.743230879,179.9472964
26.9648,-0.032075718,7.229027002,-6.742777542,179.892
27,0,7.15853079,-6.74263008,179.8879622
27.0646,0,7.029288222,-6.742377355,179.8879622
27.1645,0,6.829549701,-6.74198678,179.8879622
27.2644,0,6.629811179,-6.741596206,179.8879622
27.3642,0,6.430072658,-6.741205631,179.8879622
27.4641,0,6.230334136,-6.740815056,179.8879622
27.564,0,6.030595615,-6.740424481,179.8879622
27.6638,0,5.830857093,-6.740033906,179.8879622
27.7637,0,5.631118572,-6.739643331,179.8879622
27.8636,0,5.43138005,-6.739252756,179.8879622
27.9634,0,5.231641529,-6.738862181,179.8879622
28.0633,0,5.031903007,-6.738471607,179.8879622
28.1632,0,4.832164486,-6.738081032,179.8879622
28.2631,0,4.632425964,-6.737690457,179.8879622
28.3629,0,4.432687443,-6.737299882,179.8879622
28.4628,0,4.232948921,-6.736909307,179.8879622
28.5627,0,4.0332104,-6.736518732,179.8879622
28.6625,0,3.833471878,-6.736128157,179.8879622
28.7624,0,3.633733356,-6.735737582,179.8879622
28.8623,0,3.433994835,-6.735347007,179.8879622
28.9621,0,3.234256313,-6.734956433,179.8879622
29.062,0,3.034517792,-6.734565858,179.8879622
29.1619,0,2.83477927,-6.734175283,179.8879622
29.2617,0,2.635040749,-6.733784708,179.8879622
29.3616,0,2.435302227,-6.733394133,179.8879622
29.4615,0,2.235563706,-6.733003558,179.8879622
29.5614,0,2.035825184,-6.732612983,179.8879622
29.6612,0,1.836086663,-6.732222408,179.8879622
29.7611,0,1.636348141,-6.731831834,179.8879622
29.861,0,1.43660962,-6.731441259,179.8879622
29.9608,0,1.236871098,-6.731050684,179.8879622
30.0607,0,1.037132577,-6.730660109,179.8879622
30.1606,0,0.837394055,-6.730269534,179.8879622
30.2604,0,0.637655534,-6.729878959,179.8879622
30.3603,0,0.437917012,-6.729488384,179.8879622
30.4602,0,0.238178491,-6.729097809,179.8879622
30.5601,0,0.038439969,-6.728707235,179.8879622
30.6599,0,-0.161298552,-6.72831666,179.8879622
30.7598,0,-0.361037074,-6.727926085,179.8879622
30.8597,0,-0.560775596,-6.72753551,179.8879622
30.9595,0,-0.760514117,-6.727144935,179.8879622
31,-8.08E-09,-0.841453916,-6.726986663,179.8879622
31.0594,-0.149983681,-0.960252318,-6.72663933,179.8561445
31.1593,-0.402154047,-1.159986193,-6.725284567,179.6592089
31.2591,-0.654324413,-1.359704001,-6.722441287,179.2823819
31.359,-0.906494778,-1.559380363,-6.717469698,178.7256564
31.4589,-1.158665144,-1.758968381,-6.709739036,177.9890209
31.5587,-1.410835509,-1.958395028,-6.698630617,177.072461
31.6586,-1.663005875,-2.157557798,-6.683518284,175.9759586
31.7585,-1.91517624,-2.356314496,-6.663784553,174.6994921
31.8584,-2.167346606,-2.554479952,-6.638817488,173.2430362
31.9582,-2.419516971,-2.751820556,-6.608016432,171.606562
32.0581,-2.671687337,-2.948048519,-6.57079041,169.7900373
32.158,-2.923857702,-3.142816755,-6.526566709,167.7934262
32.2578,-3.176028068,-3.335713862,-6.474795075,165.6166892
32.3577,-3.428198433,-3.526260082,-6.414954632,163.2597832
32.4576,-3.680368799,-3.713903966,-6.346560327,160.7226617
32.5574,-3.932539164,-3.898019097,-6.26917242,158.0052745
32.6573,-4.18470953,-4.077902198,-6.18240594,155.1075679
32.7572,-4.436879896,-4.252772692,-6.085940777,152.0294847
32.857,-4.689050261,-4.42177361,-5.979532755,148.7709639
32.9569,-4.941220627,-4.583973824,-5.86302629,145.3319411
33,-5.05,-4.651594873,-5.809633447,143.7926982
33.0568,-5.05,-4.738434944,-5.73644609,141.741548
33.1567,-5.05,-4.884598223,-5.600371665,138.1343526
33.2565,-5.05,-5.021916565,-5.455364109,134.5271572
33.3564,-5.05,-5.14983681,-5.302006515,130.9199618
33.4563,-5.05,-5.267854235,-5.140905584,127.3127664
33.5561,-5.05,-5.375503662,-4.972697621,123.705571
33.656,-5.05,-5.47235738,-4.798049579,120.0983756
33.7559,-5.05,-5.558031279,-4.617653679,116.4911802
33.8557,-5.05,-5.632186386,-4.432223964,112.8839848
33.9556,-5.05,-5.694528187,-4.242495815,109.2767894
34.0555,-5.05,-5.744809552,-4.049221098,105.6695939
34.1554,-5.05,-5.782831384,-3.853165555,102.0623985
34.2552,-5.05,-5.808442817,-3.655106372,98.45520314
34.3551,-5.05,-5.821542492,-3.455828096,94.84800773
34.455,-5.05,-5.822078487,-3.25612007,91.24081233
34.5548,-5.05,-5.810048588,-3.056774249,87.63361692
34.6547,-5.05,-5.785500528,-2.85858074,84.02642152
34.7546,-5.05,-5.748531603,-2.662325383,80.41922611
34.8544,-5.05,-5.699288267,-2.468785446,76.81203071
34.9543,-5.05,-5.637965707,-2.278727564,73.2048353
35.0542,-5.05,-5.564806986,-2.092904762,69.5976399
35.154,-5.05,-5.48010197,-1.912052556,65.99044449
35.2539,-5.05,-5.384186318,-1.736887919,62.38324909
35.3538,-5.05,-5.277440042,-1.568104772,58.77605368
35.4537,-5.05,-5.160286128,-1.40637198,55.16885828
35.5535,-5.05,-5.033188778,-1.252330652,51.56166287
35.6534,-5.05,-4.896651575,-1.106590913,47.95446747
35.7533,-5.05,-4.751215522,-0.969730357,44.34727206
35.8531,-5.05,-4.5974569,-0.84229118,40.74007666
35.953,-5.05,-4.435984959,-0.724778237,37.13288125
36,-5.049999991,-4.357510417,-0.67304697,35.4353774
36.0529,-4.916498042,-4.267488051,-0.617582739,33.55099282
36.1527,-4.664327676,-4.092964521,-0.520503876,30.12966877
36.2526,-4.412157311,-3.913303319,-0.433278152,26.88884092
36.3525,-4.159986945,-3.729317095,-0.355592269,23.82844415
36.4523,-3.90781658,-3.541719813,-0.287068506,20.94841843
36.5522,-3.655646214,-3.351157281,-0.22727557,18.24870672
36.6521,-3.403475849,-3.158198,-0.175733866,15.72925557
36.752,-3.151305483,-2.963335439,-0.131925628,13.39001521
36.8518,-2.899135117,-2.76699339,-0.095303168,11.23093942
36.9517,-2.646964752,-2.569530361,-0.065295299,9.251985506
37.0516,-2.394794386,-2.371243417,-0.04131269,7.453114377
37.1514,-2.142624021,-2.17237219,-0.022752377,5.834290585
37.2513,-1.890453655,-1.973108213,-0.009002528,4.395482088
37.3512,-1.63828329,-1.773599288,0.000555065,3.136660284
37.451,-1.386112924,-1.573952408,0.006543123,2.057800216
37.5509,-1.133942559,-1.374238587,0.009587142,1.158880674
37.6508,-0.881772193,-1.174502056,0.010313718,0.43988394
37.7295,-0.683033119,-1.017086483,0.009663997,0
37.7507,-0.629601828,-0.974765837,0.009350112,0
37.8505,-0.377431462,-0.775037325,0.007325409,0
37.9504,-0.125261097,-0.575313649,0.004861164,0
38,0,-0.47610411,0.00366933,0
38.0503,0,-0.375588591,0.002511622,0
38.1501,0,-0.175862935,0.000211241,0
